id_actv,nombre_actv,descripcion,fecha_inicio,fecha_fin,id_equipo_soporte,id_empleado,id_estado,id_orden
1,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-01-07,2022-01-09,,839,3,1
2,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-01-08,2022-01-10,,352,2,2
3,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-01-08,2022-01-08,,598,1,3
4,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-01-10,2022-01-10,,196,4,4
5,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-01-11,2022-01-11,,671,3,5
6,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-01-11,2022-01-11,,672,3,6
7,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-01-13,2022-01-14,,721,7,7
8,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-01-14,2022-01-15,,755,1,8
9,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-01-14,2022-01-15,,408,6,9
10,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-01-16,2022-01-18,,491,2,10
11,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-01-17,2022-01-19,,597,2,11
12,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-01-17,2022-01-18,,941,3,12
13,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-01-19,2022-01-19,,873,4,13
14,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-01-20,2022-01-22,,514,4,14
15,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-01-20,2022-01-21,,836,2,15
16,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-01-22,2022-01-23,,320,6,16
17,Calibracion de sensores,Verificacion y calibracion de los sensores de seguridad en la linea de produccion.,2022-01-23,2022-01-24,,592,5,17
18,Cambio de correas,Reemplazo de correas y ajuste de los tensores en los sistemas de transmision.,2022-01-23,2022-01-23,1,870,3,18
19,Comprobacion de presion,Comprobacion de la presion de los sistemas hidraulicos y ajuste de las valvulas segun los parametros definidos.,2022-01-25,2022-01-25,,519,7,19
20,Engrase de cojinetes,Sustitucion de las piezas desgastadas en los ejes de transmision y engrase de los cojinetes.,2022-01-26,2022-01-26,,572,6,20
21,Inspeccion de circuitos,Inspeccion de los circuitos electricos y ajuste de conexiones flojas en los tableros de control.,2022-01-26,2022-01-28,,934,3,21
22,Lubricacion de friccion,El empleado limpiara y lubricara los componentes criticos en el area de alta friccion para evitar el desgaste prematuro.,2022-01-28,2022-01-30,,598,7,22
23,Prueba de respaldo,Revision de los sistemas de respaldo de energia con prueba de carga para verificar la capacidad de las baterias de emergencia.,2022-01-29,2022-01-30,,83,4,23
24,Engrase de sistema,Lubricacion de los cojinetes en el sistema de transmision y ajuste de las correas.,2022-01-29,2022-01-30,17,305,5,24
25,Verificacion de temperatura,Inspeccion del sistema de refrigeracion y verificacion de la temperatura en los componentes criticos.,2022-01-31,2022-02-01,,726,6,25
26,Ajuste de piezas moviles,El empleado ajustara las piezas moviles del transportador y lubricara los puntos de contacto de los ejes.,2022-02-01,2022-02-02,,153,4,26
27,Limpieza de filtros de aire,El empleado verificara el estado de los filtros de aire y realizara una limpieza en profundidad para asegurar el flujo adecuado.,2022-02-01,2022-02-01,,688,1,27
28,Lubricacion externa,El empleado lubricara las piezas moviles del sistema transportador y verificara la presion en los engranajes.,2022-02-03,2022-02-05,,527,5,28
29,Limpieza de filtros,El empleado realizara una limpieza profunda de los filtros de ventilacion y sustituira los obstruidos.,2022-02-04,2022-02-06,,854,4,29
30,Ajuste de valvulas,Inspeccion y ajuste de las valvulas de presion en el sistema hidraulico para asegurar la correcta operacion.,2022-02-04,2022-02-04,,646,6,30
