id_orden,descripcion,fecha_orden,visible
1,Inspeccion y ajuste de los componentes electricos de la linea de produccion para evitar problemas de conexion.,2022-01-07,true
2,Lubricacion y limpieza de los sistemas hidraulicos y revision de los sellos de las bombas.,2022-01-08,true
3,Sustitucion de piezas desgastadas y ajuste de tensores en el sistema de transporte.,2022-01-08,true
4,Verificacion del sistema de ventilacion y reemplazo de filtros para mejorar la eficiencia del flujo de aire.,2022-01-10,true
5,Revision y ajuste de los componentes de seguridad en la linea de produccion incluyendo sensores y valvulas de presion.,2022-01-11,true
6,Calibracion de los tableros de control y revision de las conexiones para asegurar un funcionamiento sin fallas.,2022-01-11,true
7,Inspeccion general de la maquinaria y ajuste de piezas moviles para reducir el desgaste de los componentes.,2022-01-13,true
8,Mantenimiento preventivo en las poleas de transmision y ajuste de engranajes para mejorar la sincronizacion.,2022-01-14,true
9,Verificacion de las cintas transportadoras y ajuste de los anclajes para evitar desplazamientos indeseados.,2022-01-14,true
10,Revision de los sistemas de respaldo de energia y pruebas de carga de las baterias para asegurar disponibilidad.,2022-01-16,true
11,Reemplazo de piezas en los ejes moviles y lubricacion en las zonas de alta friccion.,2022-01-17,true
12,Verificacion del sistema de refrigeracion de las maquinas para asegurar una temperatura de operacion adecuada.,2022-01-17,true
13,Inspeccion y mantenimiento de los sistemas hidraulicos de la prensa con reemplazo de sellos desgastados.,2022-01-19,true
14,Mantenimiento general de las areas de transmision y rodillos de la maquina transportadora.,2022-01-20,true
15,Inspeccion y ajuste de los componentes electricos de la linea de produccion para evitar problemas de conexion.,2022-01-20,true
16,Lubricacion y limpieza de los sistemas hidraulicos y revision de los sellos de las bombas.,2022-01-22,true
17,Sustitucion de piezas desgastadas y ajuste de tensores en el sistema de transporte.,2022-01-23,true
18,Verificacion del sistema de ventilacion y reemplazo de filtros para mejorar la eficiencia del flujo de aire.,2022-01-23,true
19,Revision y ajuste de los componentes de seguridad en la linea de produccion incluyendo sensores y valvulas de presion.,2022-01-25,true
20,Calibracion de los tableros de control y revision de las conexiones para asegurar un funcionamiento sin fallas.,2022-01-26,true
21,Inspeccion general de la maquinaria y ajuste de piezas moviles para reducir el desgaste de los componentes.,2022-01-26,true
22,Mantenimiento preventivo en las poleas de transmision y ajuste de engranajes para mejorar la sincronizacion.,2022-01-28,true
23,Verificacion de las cintas transportadoras y ajuste de los anclajes para evitar desplazamientos indeseados.,2022-01-29,true
24,Revision de los sistemas de respaldo de energia y pruebas de carga de las baterias para asegurar disponibilidad.,2022-01-29,true
25,Reemplazo de piezas en los ejes moviles y lubricacion en las zonas de alta friccion.,2022-01-31,true
26,Verificacion del sistema de refrigeracion de las maquinas para asegurar una temperatura de operacion adecuada.,2022-02-01,true
27,Inspeccion y mantenimiento de los sistemas hidraulicos de la prensa con reemplazo de sellos desgastados.,2022-02-01,true
28,Mantenimiento general de las areas de transmision y rodillos de la maquina transportadora.,2022-02-03,true
29,Inspeccion y ajuste de los componentes electricos de la linea de produccion para evitar problemas de conexion.,2022-02-04,true
30,Lubricacion y limpieza de los sistemas hidraulicos y revision de los sellos de las bombas.,2022-02-04,true
31,Sustitucion de piezas desgastadas y ajuste de tensores en el sistema de transporte.,2022-02-06,true
32,Verificacion del sistema de ventilacion y reemplazo de filtros para mejorar la eficiencia del flujo de aire.,2022-02-07,true
33,Revision y ajuste de los componentes de seguridad en la linea de produccion incluyendo sensores y valvulas de presion.,2022-02-07,true
34,Calibracion de los tableros de control y revision de las conexiones para asegurar un funcionamiento sin fallas.,2022-02-09,true
35,Inspeccion general de la maquinaria y ajuste de piezas moviles para reducir el desgaste de los componentes.,2022-02-10,true
36,Mantenimiento preventivo en las poleas de transmision y ajuste de engranajes para mejorar la sincronizacion.,2022-02-10,true
37,Verificacion de las cintas transportadoras y ajuste de los anclajes para evitar desplazamientos indeseados.,2022-02-12,true
38,Revision de los sistemas de respaldo de energia y pruebas de carga de las baterias para asegurar disponibilidad.,2022-02-13,true
39,Reemplazo de piezas en los ejes moviles y lubricacion en las zonas de alta friccion.,2022-02-13,true
40,Verificacion del sistema de refrigeracion de las maquinas para asegurar una temperatura de operacion adecuada.,2022-02-15,true
41,Inspeccion y mantenimiento de los sistemas hidraulicos de la prensa con reemplazo de sellos desgastados.,2022-02-16,true
42,Mantenimiento general de las areas de transmision y rodillos de la maquina transportadora.,2022-02-16,true
43,Inspeccion y ajuste de los componentes electricos de la linea de produccion para evitar problemas de conexion.,2022-02-18,true
44,Lubricacion y limpieza de los sistemas hidraulicos y revision de los sellos de las bombas.,2022-02-19,true
45,Sustitucion de piezas desgastadas y ajuste de tensores en el sistema de transporte.,2022-02-19,true
46,Verificacion del sistema de ventilacion y reemplazo de filtros para mejorar la eficiencia del flujo de aire.,2022-02-21,true
47,Revision y ajuste de los componentes de seguridad en la linea de produccion incluyendo sensores y valvulas de presion.,2022-02-22,true
48,Calibracion de los tableros de control y revision de las conexiones para asegurar un funcionamiento sin fallas.,2022-02-22,true
49,Inspeccion general de la maquinaria y ajuste de piezas moviles para reducir el desgaste de los componentes.,2022-02-24,true
50,Mantenimiento preventivo en las poleas de transmision y ajuste de engranajes para mejorar la sincronizacion.,2022-02-25,true
51,Verificacion de las cintas transportadoras y ajuste de los anclajes para evitar desplazamientos indeseados.,2022-02-25,true
52,Revision de los sistemas de respaldo de energia y pruebas de carga de las baterias para asegurar disponibilidad.,2022-02-27,true
53,Reemplazo de piezas en los ejes moviles y lubricacion en las zonas de alta friccion.,2022-02-28,true
54,Verificacion del sistema de refrigeracion de las maquinas para asegurar una temperatura de operacion adecuada.,2022-02-28,true
55,Inspeccion y mantenimiento de los sistemas hidraulicos de la prensa con reemplazo de sellos desgastados.,2022-03-02,true
56,Mantenimiento general de las areas de transmision y rodillos de la maquina transportadora.,2022-03-03,true
57,Inspeccion y ajuste de los componentes electricos de la linea de produccion para evitar problemas de conexion.,2022-03-03,true
58,Lubricacion y limpieza de los sistemas hidraulicos y revision de los sellos de las bombas.,2022-03-05,true
59,Sustitucion de piezas desgastadas y ajuste de tensores en el sistema de transporte.,2022-03-06,true
60,Verificacion del sistema de ventilacion y reemplazo de filtros para mejorar la eficiencia del flujo de aire.,2022-03-06,true
61,Revision y ajuste de los componentes de seguridad en la linea de produccion incluyendo sensores y valvulas de presion.,2022-03-08,true
62,Calibracion de los tableros de control y revision de las conexiones para asegurar un funcionamiento sin fallas.,2022-03-09,true
63,Inspeccion general de la maquinaria y ajuste de piezas moviles para reducir el desgaste de los componentes.,2022-03-09,true
64,Mantenimiento preventivo en las poleas de transmision y ajuste de engranajes para mejorar la sincronizacion.,2022-03-11,true
65,Verificacion de las cintas transportadoras y ajuste de los anclajes para evitar desplazamientos indeseados.,2022-03-12,true
66,Revision de los sistemas de respaldo de energia y pruebas de carga de las baterias para asegurar disponibilidad.,2022-03-12,true
67,Reemplazo de piezas en los ejes moviles y lubricacion en las zonas de alta friccion.,2022-03-14,true
68,Verificacion del sistema de refrigeracion de las maquinas para asegurar una temperatura de operacion adecuada.,2022-03-15,true
69,Inspeccion y mantenimiento de los sistemas hidraulicos de la prensa con reemplazo de sellos desgastados.,2022-03-15,true
70,Mantenimiento general de las areas de transmision y rodillos de la maquina transportadora.,2022-03-17,true
71,Inspeccion y ajuste de los componentes electricos de la linea de produccion para evitar problemas de conexion.,2022-03-18,true
72,Lubricacion y limpieza de los sistemas hidraulicos y revision de los sellos de las bombas.,2022-03-18,true
73,Sustitucion de piezas desgastadas y ajuste de tensores en el sistema de transporte.,2022-03-20,true
74,Verificacion del sistema de ventilacion y reemplazo de filtros para mejorar la eficiencia del flujo de aire.,2022-03-21,true
75,Revision y ajuste de los componentes de seguridad en la linea de produccion incluyendo sensores y valvulas de presion.,2022-03-21,true
76,Calibracion de los tableros de control y revision de las conexiones para asegurar un funcionamiento sin fallas.,2022-03-23,true
77,Inspeccion general de la maquinaria y ajuste de piezas moviles para reducir el desgaste de los componentes.,2022-03-24,true
78,Mantenimiento preventivo en las poleas de transmision y ajuste de engranajes para mejorar la sincronizacion.,2022-03-24,true
