Descripcion_tarea,Puesto_trabajo,Cond_operacional,Id_tarea,Id_actividad,id_tarea,id_actividad
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,recados semanales,35,189,1,1
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento Preventivo,recados semanales,186,298,2,2
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Gerente de Instalaciones,responsabilidades habituales,69,124,3,2
Probar los sistemas de deteccion de gases para verificar su precision,Coordinador de Mantenimiento,asignaciones regulares,164,131,4,2
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,asignaciones regulares,50,291,5,2
Probar los botones de parada de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,26,162,6,2
Inspeccionar las bandas transportadoras en busca de desgaste,Especialista en Mantenimiento Preventivo,asignaciones regulares,128,4,7,2
Inspeccionar las bandas transportadoras en busca de desgaste,Supervisor de Mantenimiento,recados semanales,110,218,8,3
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,obligaciones frecuentes,29,171,9,3
Inspeccionar las bandas transportadoras en busca de desgaste,Supervisor de Mantenimiento,responsabilidades habituales,171,120,10,3
Probar los sistemas de alarma para verificar su respuesta,Lider de Equipo de Mantenimiento,asignaciones regulares,172,19,11,4
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,288,181,12,4
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,metas anuales,190,137,13,4
Inspeccionar los arneses de seguridad en busca de danos,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,114,103,14,4
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento,metas anuales,129,289,15,4
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,asignaciones regulares,278,273,16,4
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,deberes ocasionales,260,216,17,4
Probar los sistemas de deteccion de gases para verificar su precision,Supervisor de Mantenimiento,deberes ocasionales,150,154,18,5
Probar los sistemas de deteccion de gases para verificar su precision,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,212,259,19,5
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,deberes ocasionales,97,70,20,5
Probar los botones de parada de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,158,273,21,6
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,metas anuales,102,231,22,6
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,obligaciones frecuentes,199,100,23,6
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,metas anuales,229,87,24,7
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Supervisor de Mantenimiento,asignaciones regulares,17,176,25,7
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,recados semanales,5,12,26,7
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,recados semanales,156,185,27,8
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,deberes ocasionales,34,269,28,8
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,deberes ocasionales,180,147,29,8
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,metas anuales,48,102,30,8
Probar la iluminacion de emergencia para verificar su funcionalidad,Gerente de Instalaciones,Tareas diarias,38,285,31,8
Probar los sistemas de deteccion de gases para verificar su precision,Lider de Equipo de Mantenimiento,obligaciones frecuentes,131,39,32,8
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,asignaciones regulares,260,223,33,8
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,recados semanales,295,195,34,8
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,metas anuales,170,167,35,8
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,Tareas diarias,161,266,36,9
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Planificador de Mantenimiento,Tareas diarias,187,201,37,9
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Ingeniero de Mantenimiento Preventivo,Tareas diarias,288,26,38,9
Probar los botones de parada de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,Tareas diarias,11,210,39,9
Probar la iluminacion de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,deberes ocasionales,100,23,40,9
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Gerente de Instalaciones,deberes ocasionales,97,16,41,9
Probar los botones de parada de emergencia para verificar su funcionalidad,Gerente de Instalaciones,responsabilidades habituales,237,136,42,10
Probar los botones de parada de emergencia para verificar su funcionalidad,Planificador de Mantenimiento,Tareas diarias,203,188,43,10
Probar los sistemas de deteccion de gases para verificar su precision,Gerente de Instalaciones,metas anuales,260,296,44,10
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Supervisor de Mantenimiento,asignaciones regulares,187,201,45,10
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento Preventivo,responsabilidades habituales,5,75,46,10
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,deberes ocasionales,166,204,47,10
Probar los botones de parada de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,deberes ocasionales,116,30,48,10
Probar los sistemas de deteccion de gases para verificar su precision,Lider de Equipo de Mantenimiento,metas anuales,197,207,49,11
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,asignaciones regulares,232,25,50,11
Probar los botones de parada de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,asignaciones regulares,114,64,51,11
Probar los sistemas de deteccion de gases para verificar su precision,Tecnico de Mantenimiento,metas anuales,26,297,52,12
Inspeccionar las bandas transportadoras en busca de desgaste,Coordinador de Mantenimiento,asignaciones regulares,77,274,53,12
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,responsabilidades habituales,208,90,54,12
Probar la iluminacion de emergencia para verificar su funcionalidad,Inspector de Mantenimiento,obligaciones frecuentes,84,3,55,12
Probar los sistemas de alarma para verificar su respuesta,Inspector de Mantenimiento,obligaciones frecuentes,48,97,56,12
Probar los botones de parada de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,deberes ocasionales,255,279,57,13
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,recados semanales,15,173,58,13
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Especialista en Mantenimiento Preventivo,asignaciones regulares,274,107,59,13
Inspeccionar las bandas transportadoras en busca de desgaste,Tecnico de Mantenimiento,metas anuales,232,243,60,13
Probar los sistemas de alarma para verificar su respuesta,Coordinador de Mantenimiento,obligaciones frecuentes,166,86,61,13
Probar los sistemas de deteccion de gases para verificar su precision,Gerente de Instalaciones,metas anuales,199,281,62,13
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,recados semanales,15,212,63,13
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,metas anuales,270,55,64,14
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Supervisor de Mantenimiento,Tareas diarias,157,189,65,14
Inspeccionar los arneses de seguridad en busca de danos,Lider de Equipo de Mantenimiento,asignaciones regulares,18,26,66,15
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,asignaciones regulares,158,169,67,15
Revisar las salidas de emergencia para detectar obstrucciones,Supervisor de Mantenimiento,metas anuales,241,281,68,15
Inspeccionar el andamiaje para asegurar su estabilidad,Coordinador de Mantenimiento,deberes ocasionales,187,16,69,16
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,metas anuales,219,163,70,16
Inspeccionar las bandas transportadoras en busca de desgaste,Planificador de Mantenimiento,metas anuales,108,104,71,16
Revisar las salidas de emergencia para detectar obstrucciones,Planificador de Mantenimiento,deberes ocasionales,147,145,72,16
Inspeccionar los arneses de seguridad en busca de danos,Ingeniero de Mantenimiento Preventivo,obligaciones frecuentes,228,75,73,16
Probar la iluminacion de emergencia para verificar su funcionalidad,Coordinador de Mantenimiento,asignaciones regulares,159,129,74,17
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,deberes ocasionales,199,208,75,17
Inspeccionar las bandas transportadoras en busca de desgaste,Gerente de Instalaciones,obligaciones frecuentes,175,106,76,18
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,51,172,77,18
Probar los sistemas de deteccion de gases para verificar su precision,Planificador de Mantenimiento,recados semanales,297,54,78,18
Probar los sistemas de alarma para verificar su respuesta,Lider de Equipo de Mantenimiento,recados semanales,275,299,79,18
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,responsabilidades habituales,222,120,80,18
