Id_actividad,Descripcion_actividad,Id_proceso
1,Cambio de la cuchara del Scoop,657
2,TRASLADO DE TABLERO CELDA O MINI BRECK,485
3,materiales y equipos,300
4,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),72
5,Cambio de rodamiento,505
6,materiales y equipos,589
7,Cambio de arrancador,169
8,Cambio de boca masa,955
9,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,690
10,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),71
11,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),20
12,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),475
13,Cambio de MANTLE (forros),334
14,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),450
15,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,863
16,Cambio de colector electrico,880
17,Cambio de alternador,371
18,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),12
19,Cambio de colector electrico,783
20,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),47
21,Cambio de arrancador,517
22,Cambio de MANTLE (forros),506
23,Cambio de labio de cuchara del Scoop,397
24,Cambio de MANTLE (forros),950
25,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,236
26,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),635
27,Reparacion o cambio de brazos telescopicos y vigas,382
28,Cambio de la cuchara del Scoop,516
29,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),158
30,Cambio de colector electrico,912
31,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,306
32,Suministro y traslado de herramientas,294
33,Cambio de rodamiento,802
34,Cambio de arrancador,394
35,Cambio de colector electrico,108
36,TRASLADO DE TABLERO CELDA O MINI BRECK,84
37,Cambio de rodamiento,262
38,Estructura de Equipos Trackless,864
39,Cambio de boca masa,822
40,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,901
41,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),740
42,Cambio de alternador,368
43,Cambio de boca masa,915
44,TRASLADO DE TABLERO CELDA O MINI BRECK,765
45,Cambio de arrancador,256
46,TRASLADO DE TABLERO CELDA O MINI BRECK,594
47,Cambio de boca masa,789
48,Cambio de alternador,772
49,Cambio de rodamiento,837
50,Cambio de rodamiento,10
51,Suministro y traslado de herramientas,542
52,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),720
53,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,283
54,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),331
55,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),994
56,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,809
57,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,495
58,Cambio de boca masa,533
59,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,137
60,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,780
61,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),31
62,Cambio de la cuchara del Scoop,633
63,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,200
64,Cambio de arrancador,361
65,Cambio de boca masa,376
66,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,6
67,materiales y equipos,77
68,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,319
69,Cambio de la cuchara del Scoop,352
70,TRASLADO DE TABLERO CELDA O MINI BRECK,564
71,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),114
72,materiales y equipos,255
73,Cambio de la cuchara del Scoop,790
74,Cambio de rodamiento,329
75,Suministro y traslado de herramientas,573
76,Cambio de la cuchara del Scoop,382
77,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,202
78,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,430
79,Cambio de colector electrico,518
80,Suministro y traslado de herramientas,974
81,MANTENIMIENTO DE ZARANDAS (Zaranda GRIZZLY TYLER 5' X 12'  ZISETEC 6' X 12'),630
82,Cambio de alternador,121
83,Cambio de arrancador,502
84,DESENERGIZACIoN Y ENERGIZACIoN DE TABLEROS ELeCTRICOS,267
85,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,982
86,Cambio de colector electrico,903
87,INSTALACIoN Y CONEXIoN DE CELDAS Y MINI BRECK,784
88,Reparacion o cambio de brazos telescopicos y vigas,106
89,Estructura de Equipos Trackless,406
90,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,685
91,Suministro y traslado de herramientas,596
92,materiales y equipos,69
93,TRASLADO DE TABLERO CELDA O MINI BRECK,656
94,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,446
95,Cambio de la cuchara del Scoop,36
96,Cambio de arrancador,766
97,Cambio de boca masa,845
98,Cambio de colector electrico,262
99,Cambio de arrancador,64
100,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,680
101,Suministro y traslado de herramientas,176
102,Sistema Electrico de Equipos trackless (Preventivo y Correctivo),187
103,Cambio de la cuchara del Scoop,35
104,materiales y equipos,797
105,materiales y equipos,703
106,DESENERGIZACIoN Y ENERGIZACIoN DE PORTA FUSIBLES CUT OUT,392
107,SUMINISTRO DE ENERGiA ELeCTRICA-INSTALACIoN MANTENIMIENTO DE TABLEROS ELeCTRICOS,123
108,materiales y equipos,861
109,Cambio de boca masa,979
110,Reparacion o cambio de brazos telescopicos y vigas,95
111,Cambio de MANTLE (forros),709
112,DESENERGIZACIoN Y ENERGIZACIoN DE CELDAS Y MINI BRECK,89
