id_control,Descripcion_control,Id_tipo_estgia_control,Id_tipo_med_control,Id_tipo_Qcontrol,id_valoracion_residual
1,1. Capacitacion en uso trabajos en pisos desnivelados 2. Realizar trabajos en equipo coordinadamente.,M,INH,D,1
2,delimitacion de areas 2. Mantener orden y limpieza,P,ADM,A,1
3,Desenergizar y bloquear  fuente de energia,M,ADM,D,2
4,Uso de equipos personal de proteccion anticaidas.,M,SUS,E,3
5,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,P,ADM,E,3
6,1. Uso de herramientas adecuadas.,P,ADM,D,3
7,1. Uso de herramientas adecuadas.,P,SUS,D,3
8,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,ELI,C,4
9,Colocacion de Barreras  Solidas,M,SUS,A,4
10,Orejeras Tapones auditivos,P,ADM,C,4
11,Uso del drenaje ecologico tipo check.,P,SUS,B,5
12,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,P,EPP,D,5
13,Timbre de operatividad Circulina de operatividad,P,ELI,A,5
14,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,ADM,D,5
15,1. Uso de herramientas adecuadas.,M,EPP,D,5
16,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,P,SUS,E,6
17,1. Uso de pisos grating dentados / pisos de concreto sin pulir.,P,ADM,C,6
18,Desate mecanizado (Scaler). Desate manual (barretillas). Sostenimiento secuenciado segun recomendaciones geomecanicas,M,SUS,E,7
19,Respirador y filtros de polvo,P,EPP,D,7
20,Capacitacion en uso de herramientas adecuadas. Capacitacion en ergonomia Publicacion en la oficina sobre pausas activas.,P,EPP,B,7
21,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,P,ELI,C,8
22,Zapatos de seguridad con planta de caucho o material antideslizante.,P,INH,B,8
23,lineas de vida,M,ADM,A,8
24,Capacitacion del uso de las hojas MSDS de las sustancias que se utilizaran. Uso correcto de las cartillas de mantenimiento preventivo de los equipos.,M,INH,D,8
25,1. Uso de herramientas adecuadas.,P,INH,C,9
26,Desenergizar y bloquear  fuente de energia,P,SUS,D,9
27,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,P,SUS,B,9
28,Instalacion de silenciadores en ventiladores,P,ADM,B,9
29,Descripcion,P,SUS,D,10
30,1. E-COR-SIB-05.01 Trabajos en Altura 2. FE-COR-SIB-05.01-02 Formato inspeccion equipo anti caidas.,P,INH,C,10
31,1. Capacitacion en uso trabajos en pisos desnivelados 2. Realizar trabajos en equipo coordinadamente.,M,EPP,C,11
32,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,P,EPP,E,11
33,Monitoreo periodico de agentes quimicos en labores subterraneas Capacitacion en agentes quimicos Cumplimiento del E-COR-SIB-11.02 Proteccion Respiratoria Programa de riego de vias principales,P,EPP,C,11
34,delimitacion de areas 2. Mantener orden y limpieza,M,ELI,E,12
35,Difusion  de PETS-UCH-MG-02.16 1. E-COR-SIB-01.01 Equipo de Proteccion Personal,P,EPP,D,13
36,cilindros de aserrin.,M,SUS,A,13
37,Aceites o grasas para equipos Senalizacion de los extintores dentro del taller de mantenimiento. IPERC continuo llenado por el tecnico mecanico indicando este peligro  Inspeccion de extintores,P,ADM,D,13
38,1. Uso de herramientas adecuadas.,P,ELI,C,14
39,Orejeras Tapones auditivos,P,EPP,E,15
40,1. Uso de herramientas adecuadas.,M,SUS,A,15
41,Colocacion de Barreras  Solidas,P,INH,C,15
42,Uso del drenaje ecologico tipo check.,P,INH,A,15
43,Respirador y filtros de polvo,P,SUS,D,16
44,Respirador con filtro de gases,M,EPP,A,17
45,1. P-COR-SIB-04.15 Manejo de derrames 2. Capacitacion en E-COR-SIB-11.01 Control de Materiales Quimicos Peligrosos. 3. Capacitacion en uso de MSDS. 4. Cumplir con el Plan de Contingencias. 4. Capacitacion en reporte de incidentes por derrames.,M,INH,B,17
46,Respirador y filtros de polvo,P,INH,D,17
47,Zapatos de seguridad con planta de caucho o material antideslizante.,M,ADM,C,17
48,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,P,ELI,E,17
49,Puntos de anclaje,M,EPP,E,18
50,1. Uso de herramientas adecuadas.,P,EPP,B,18
51,1. Uso de herramientas adecuadas.,P,ELI,D,18
52,Uso del drenaje ecologico tipo check.,M,ADM,C,19
53,Uso de equipos personal de proteccion anticaidas.,M,ELI,E,19
54,Timbre de operatividad Circulina de operatividad,P,ELI,A,19
55,Orden de Trabajo IPERC Continuo Senalizacion del nivel de Ruido Difusion y seguimiento al estandar E-COR-SIB-11.03 Proteccion Auditiva Capacitacion en uso de proteccion auditiva,P,ADM,E,19
56,1. Capacitacion en uso trabajos en pisos desnivelados 2. Realizar trabajos en equipo coordinadamente.,P,EPP,E,19
57,Extintores en Zona de trabajo,P,INH,E,20
58,Timbre de operatividad Circulina de operatividad,M,EPP,E,20
59,guantes de cuero o anticorte.,P,ADM,C,20
60,Zapatos de seguridad con planta de caucho o material antideslizante.,P,SUS,E,20
61,Instalacion de silenciadores en ventiladores,P,ELI,C,21
62,Casco de Seguridad,M,SUS,D,21
63,Zapatos de seguridad con planta de caucho o material antideslizante.,M,ADM,D,21
64,Uso de equipos personal de proteccion anticaidas.,P,ELI,E,21
65,Respirador con filtro de gases,M,SUS,C,21
66,1. Uso de herramientas adecuadas.,M,ADM,D,22
67,Orden de Trabajo IPERC continuo realizado por el tecnico mecanico Verificacion de la autorizacion de operatividad del equipo de izaje y del personal que lo va a maniobrar. Difusion del estandar E-COR-SIB-05.05 Equipos de Izaje y Gruas,M,SUS,C,22
68,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,M,ELI,D,22
69,Colocacion de Barreras  Solidas,M,ELI,E,22
70,1. Uso de herramientas adecuadas.,M,SUS,B,23
71,Instalacion de silenciadores en ventiladores,M,ELI,D,23
72,1. Bandejas,P,EPP,A,24
73,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,M,EPP,C,24
74,Orden de Trabajo Senalizacion de la zona de abastecimiento o almacenaje de Solventes,P,EPP,B,24
75,Zapatos de seguridad con planta de caucho o material antideslizante.,P,ADM,A,25
76,Orden de Trabajo IPERC continuo realizado por el operador del equipo identificando este peligro Difusion y seguimiento al estandar E-COR-SIB-07.03 Control de Rocas y Suelos Control geomecanico de labores Capacitacion en desate de rocas,P,INH,D,26
77,Zapatos de seguridad con planta de caucho o material antideslizante.,M,ELI,B,26
