id_incidente,descripcion_incidente,fecha,criticidad,usuario_involucrado,medidas_tomadas
1,intento de acceso sospechoso a la red interna,2024-05-15,alta,ana.lopez,medidas tomadas para resolver el incidente
2,incidente de phishing detectado en correo,2024-04-27,baja,juan.perez,medidas tomadas para resolver el incidente
3,ataque ddos en el servidor de la empresa,2024-10-22,media,,medidas tomadas para resolver el incidente
4,ataque ddos en el servidor de la empresa,2024-09-05,baja,jose.rodriguez,medidas tomadas para resolver el incidente
5,intento de acceso sospechoso a la red interna,2024-03-01,baja,carlos.smith,medidas tomadas para resolver el incidente
6,explotación de vulnerabilidad en servidor web,2024-01-22,alta,pedro.juarez,medidas tomadas para resolver el incidente
7,explotación de vulnerabilidad en servidor web,2024-02-01,baja,ana.lopez,medidas tomadas para resolver el incidente
8,explotación de vulnerabilidad en servidor web,2024-06-15,media,jose.rodriguez,medidas tomadas para resolver el incidente
9,acceso no autorizado a la red de administración,2024-10-06,media,,medidas tomadas para resolver el incidente
10,intento de acceso sospechoso a la red interna,2024-09-19,baja,carlos.smith,medidas tomadas para resolver el incidente
11,problema en el sistema de autenticación,2024-12-04,media,pedro.juarez,medidas tomadas para resolver el incidente
12,acceso no autorizado a la red de administración,2024-07-13,alta,ana.lopez,medidas tomadas para resolver el incidente
13,acceso no autorizado a base de datos,2024-10-22,alta,juan.perez,medidas tomadas para resolver el incidente
14,explotación de vulnerabilidad en servidor web,2024-08-20,media,ana.lopez,medidas tomadas para resolver el incidente
15,problema en el sistema de autenticación,2024-06-10,media,laura.martinez,medidas tomadas para resolver el incidente
16,problema en el sistema de autenticación,2024-09-23,media,carlos.smith,medidas tomadas para resolver el incidente
17,ataque ddos en el servidor de la empresa,2024-01-30,baja,laura.martinez,medidas tomadas para resolver el incidente
18,intento de acceso sospechoso a la red interna,2024-10-17,alta,jose.rodriguez,medidas tomadas para resolver el incidente
19,acceso no autorizado a base de datos,2024-02-09,alta,pedro.juarez,medidas tomadas para resolver el incidente
20,incidente de phishing detectado en correo,2024-12-25,baja,,medidas tomadas para resolver el incidente
21,acceso no autorizado a la red de administración,2024-03-02,media,,medidas tomadas para resolver el incidente
22,incidente de phishing detectado en correo,2024-06-26,alta,juan.perez,medidas tomadas para resolver el incidente
23,ataque ddos en el servidor de la empresa,2024-04-11,media,jose.rodriguez,medidas tomadas para resolver el incidente
24,acceso no autorizado a la red de administración,2024-12-14,alta,laura.martinez,medidas tomadas para resolver el incidente
25,problema en el sistema de autenticación,2024-02-06,baja,pedro.juarez,medidas tomadas para resolver el incidente
26,acceso no autorizado a base de datos,2024-11-10,media,,medidas tomadas para resolver el incidente
27,problema en el sistema de autenticación,2024-06-30,alta,,medidas tomadas para resolver el incidente
28,incidente de phishing detectado en correo,2024-07-28,alta,,medidas tomadas para resolver el incidente
29,acceso no autorizado a base de datos,2024-04-12,baja,ana.lopez,medidas tomadas para resolver el incidente
30,fallo en la autenticación de dos factores,2024-08-25,baja,,medidas tomadas para resolver el incidente
31,problema en el sistema de autenticación,2024-08-09,alta,pedro.juarez,medidas tomadas para resolver el incidente
32,acceso no autorizado a base de datos,2024-02-06,alta,,medidas tomadas para resolver el incidente
33,incidente de phishing detectado en correo,2024-03-08,media,maria.gomez,medidas tomadas para resolver el incidente
34,incidente de phishing detectado en correo,2024-04-11,alta,,medidas tomadas para resolver el incidente
35,incidente de phishing detectado en correo,2024-12-22,baja,,medidas tomadas para resolver el incidente
36,ataque ddos en el servidor de la empresa,2024-11-03,alta,ana.lopez,medidas tomadas para resolver el incidente
37,ataque ddos en el servidor de la empresa,2024-07-17,baja,ana.lopez,medidas tomadas para resolver el incidente
38,ataque ddos en el servidor de la empresa,2024-11-28,media,ana.lopez,medidas tomadas para resolver el incidente
39,acceso no autorizado a la red de administración,2024-04-14,alta,ana.lopez,medidas tomadas para resolver el incidente
40,acceso no autorizado a la red de administración,2024-05-06,media,maria.gomez,medidas tomadas para resolver el incidente
41,acceso no autorizado a base de datos,2024-07-15,baja,pedro.juarez,medidas tomadas para resolver el incidente
42,incidente de phishing detectado en correo,2024-10-13,alta,,medidas tomadas para resolver el incidente
43,ataque ddos en el servidor de la empresa,2024-07-27,media,,medidas tomadas para resolver el incidente
44,intento de acceso sospechoso a la red interna,2024-07-13,baja,jose.rodriguez,medidas tomadas para resolver el incidente
45,ataque ddos en el servidor de la empresa,2024-02-17,alta,laura.martinez,medidas tomadas para resolver el incidente
46,intento de acceso sospechoso a la red interna,2024-02-05,alta,maria.gomez,medidas tomadas para resolver el incidente
47,problema en el sistema de autenticación,2024-12-19,alta,jose.rodriguez,medidas tomadas para resolver el incidente
48,acceso no autorizado a base de datos,2024-09-17,alta,juan.perez,medidas tomadas para resolver el incidente
49,explotación de vulnerabilidad en servidor web,2024-05-26,baja,maria.gomez,medidas tomadas para resolver el incidente
50,explotación de vulnerabilidad en servidor web,2024-05-30,alta,carlos.smith,medidas tomadas para resolver el incidente
51,ataque ddos en el servidor de la empresa,2024-03-31,alta,maria.gomez,medidas tomadas para resolver el incidente
52,acceso no autorizado a base de datos,2024-11-13,baja,maria.gomez,medidas tomadas para resolver el incidente
53,intento de acceso sospechoso a la red interna,2024-11-10,media,laura.martinez,medidas tomadas para resolver el incidente
54,problema en el sistema de autenticación,2024-02-17,media,carlos.smith,medidas tomadas para resolver el incidente
55,acceso no autorizado a la red de administración,2024-11-10,alta,pedro.juarez,medidas tomadas para resolver el incidente
56,acceso no autorizado a la red de administración,2024-06-23,media,juan.perez,medidas tomadas para resolver el incidente
57,ataque ddos en el servidor de la empresa,2024-04-18,alta,pedro.juarez,medidas tomadas para resolver el incidente
58,explotación de vulnerabilidad en servidor web,2024-02-11,media,,medidas tomadas para resolver el incidente
59,explotación de vulnerabilidad en servidor web,2024-11-04,alta,maria.gomez,medidas tomadas para resolver el incidente
60,fallo en la autenticación de dos factores,2024-04-16,baja,,medidas tomadas para resolver el incidente
61,ataque ddos en el servidor de la empresa,2024-02-06,alta,laura.martinez,medidas tomadas para resolver el incidente
62,fallo en la autenticación de dos factores,2024-03-22,media,laura.martinez,medidas tomadas para resolver el incidente
63,acceso no autorizado a la red de administración,2024-07-09,baja,,medidas tomadas para resolver el incidente
64,acceso no autorizado a base de datos,2024-08-02,media,jose.rodriguez,medidas tomadas para resolver el incidente
65,incidente de phishing detectado en correo,2024-02-11,baja,jose.rodriguez,medidas tomadas para resolver el incidente
66,problema en el sistema de autenticación,2024-01-14,baja,juan.perez,medidas tomadas para resolver el incidente
67,explotación de vulnerabilidad en servidor web,2024-10-24,baja,laura.martinez,medidas tomadas para resolver el incidente
68,problema en el sistema de autenticación,2024-09-30,media,laura.martinez,medidas tomadas para resolver el incidente
69,acceso no autorizado a la red de administración,2024-02-11,media,laura.martinez,medidas tomadas para resolver el incidente
70,problema en el sistema de autenticación,2024-01-23,baja,ana.lopez,medidas tomadas para resolver el incidente
71,explotación de vulnerabilidad en servidor web,2024-05-09,baja,maria.gomez,medidas tomadas para resolver el incidente
72,acceso no autorizado a base de datos,2024-08-18,media,laura.martinez,medidas tomadas para resolver el incidente
73,problema en el sistema de autenticación,2024-07-26,baja,,medidas tomadas para resolver el incidente
74,problema en el sistema de autenticación,2024-01-03,baja,ana.lopez,medidas tomadas para resolver el incidente
75,explotación de vulnerabilidad en servidor web,2024-05-31,media,maria.gomez,medidas tomadas para resolver el incidente
76,problema en el sistema de autenticación,2024-01-21,media,ana.lopez,medidas tomadas para resolver el incidente
77,intento de acceso sospechoso a la red interna,2024-02-09,media,,medidas tomadas para resolver el incidente
78,problema en el sistema de autenticación,2024-05-27,baja,laura.martinez,medidas tomadas para resolver el incidente
79,problema en el sistema de autenticación,2024-02-29,media,,medidas tomadas para resolver el incidente
80,acceso no autorizado a la red de administración,2024-05-21,media,,medidas tomadas para resolver el incidente
81,explotación de vulnerabilidad en servidor web,2024-05-11,baja,jose.rodriguez,medidas tomadas para resolver el incidente
82,intento de acceso sospechoso a la red interna,2024-11-13,alta,,medidas tomadas para resolver el incidente
83,fallo en la autenticación de dos factores,2024-12-05,media,pedro.juarez,medidas tomadas para resolver el incidente
84,acceso no autorizado a la red de administración,2024-02-01,alta,,medidas tomadas para resolver el incidente
85,acceso no autorizado a base de datos,2024-01-08,baja,jose.rodriguez,medidas tomadas para resolver el incidente
86,acceso no autorizado a la red de administración,2024-09-05,alta,pedro.juarez,medidas tomadas para resolver el incidente
87,acceso no autorizado a la red de administración,2024-09-11,alta,maria.gomez,medidas tomadas para resolver el incidente
88,acceso no autorizado a base de datos,2024-04-26,alta,maria.gomez,medidas tomadas para resolver el incidente
89,ataque ddos en el servidor de la empresa,2024-01-05,media,carlos.smith,medidas tomadas para resolver el incidente
90,acceso no autorizado a base de datos,2024-01-12,media,ana.lopez,medidas tomadas para resolver el incidente
91,problema en el sistema de autenticación,2024-02-21,alta,juan.perez,medidas tomadas para resolver el incidente
92,problema en el sistema de autenticación,2024-04-16,media,,medidas tomadas para resolver el incidente
93,explotación de vulnerabilidad en servidor web,2024-07-13,baja,laura.martinez,medidas tomadas para resolver el incidente
94,acceso no autorizado a base de datos,2024-03-19,media,jose.rodriguez,medidas tomadas para resolver el incidente
95,ataque ddos en el servidor de la empresa,2024-09-08,alta,pedro.juarez,medidas tomadas para resolver el incidente
96,acceso no autorizado a la red de administración,2024-12-05,media,,medidas tomadas para resolver el incidente
97,ataque ddos en el servidor de la empresa,2024-04-26,baja,,medidas tomadas para resolver el incidente
98,acceso no autorizado a la red de administración,2024-11-22,alta,laura.martinez,medidas tomadas para resolver el incidente
99,explotación de vulnerabilidad en servidor web,2024-02-16,media,carlos.smith,medidas tomadas para resolver el incidente
100,explotación de vulnerabilidad en servidor web,2024-07-05,media,carlos.smith,medidas tomadas para resolver el incidente
101,problema en el sistema de autenticación,2024-01-15,alta,pedro.juarez,medidas tomadas para resolver el incidente
102,intento de acceso sospechoso a la red interna,2024-06-23,alta,pedro.juarez,medidas tomadas para resolver el incidente
103,problema en el sistema de autenticación,2024-11-29,alta,pedro.juarez,medidas tomadas para resolver el incidente
104,acceso no autorizado a la red de administración,2024-05-10,media,pedro.juarez,medidas tomadas para resolver el incidente
105,intento de acceso sospechoso a la red interna,2024-05-25,media,carlos.smith,medidas tomadas para resolver el incidente
106,explotación de vulnerabilidad en servidor web,2024-02-10,baja,juan.perez,medidas tomadas para resolver el incidente
107,ataque ddos en el servidor de la empresa,2024-09-08,media,juan.perez,medidas tomadas para resolver el incidente
108,acceso no autorizado a la red de administración,2024-11-07,baja,jose.rodriguez,medidas tomadas para resolver el incidente
109,acceso no autorizado a la red de administración,2024-10-18,media,,medidas tomadas para resolver el incidente
110,acceso no autorizado a base de datos,2024-12-18,media,pedro.juarez,medidas tomadas para resolver el incidente
111,fallo en la autenticación de dos factores,2024-04-17,media,maria.gomez,medidas tomadas para resolver el incidente
112,acceso no autorizado a la red de administración,2024-10-20,alta,juan.perez,medidas tomadas para resolver el incidente
113,problema en el sistema de autenticación,2024-07-14,alta,maria.gomez,medidas tomadas para resolver el incidente
114,intento de acceso sospechoso a la red interna,2024-03-16,media,maria.gomez,medidas tomadas para resolver el incidente
115,ataque ddos en el servidor de la empresa,2024-11-11,baja,jose.rodriguez,medidas tomadas para resolver el incidente
116,problema en el sistema de autenticación,2024-09-24,baja,carlos.smith,medidas tomadas para resolver el incidente
117,fallo en la autenticación de dos factores,2024-01-19,media,maria.gomez,medidas tomadas para resolver el incidente
118,explotación de vulnerabilidad en servidor web,2024-11-01,alta,jose.rodriguez,medidas tomadas para resolver el incidente
119,acceso no autorizado a la red de administración,2024-10-22,alta,juan.perez,medidas tomadas para resolver el incidente
120,explotación de vulnerabilidad en servidor web,2024-11-06,baja,pedro.juarez,medidas tomadas para resolver el incidente
121,ataque ddos en el servidor de la empresa,2024-01-15,alta,ana.lopez,medidas tomadas para resolver el incidente
122,ataque ddos en el servidor de la empresa,2024-05-22,alta,juan.perez,medidas tomadas para resolver el incidente
123,problema en el sistema de autenticación,2024-04-28,media,maria.gomez,medidas tomadas para resolver el incidente
124,ataque ddos en el servidor de la empresa,2024-09-07,baja,maria.gomez,medidas tomadas para resolver el incidente
125,explotación de vulnerabilidad en servidor web,2024-09-14,baja,pedro.juarez,medidas tomadas para resolver el incidente
126,intento de acceso sospechoso a la red interna,2024-07-06,media,laura.martinez,medidas tomadas para resolver el incidente
127,ataque ddos en el servidor de la empresa,2024-10-21,alta,laura.martinez,medidas tomadas para resolver el incidente
128,intento de acceso sospechoso a la red interna,2024-07-27,alta,,medidas tomadas para resolver el incidente
129,intento de acceso sospechoso a la red interna,2024-12-30,media,pedro.juarez,medidas tomadas para resolver el incidente
130,explotación de vulnerabilidad en servidor web,2024-10-21,media,laura.martinez,medidas tomadas para resolver el incidente
131,acceso no autorizado a la red de administración,2024-08-30,alta,carlos.smith,medidas tomadas para resolver el incidente
132,fallo en la autenticación de dos factores,2024-09-22,media,ana.lopez,medidas tomadas para resolver el incidente
133,intento de acceso sospechoso a la red interna,2024-08-23,baja,jose.rodriguez,medidas tomadas para resolver el incidente
134,acceso no autorizado a base de datos,2024-07-19,alta,jose.rodriguez,medidas tomadas para resolver el incidente
135,incidente de phishing detectado en correo,2024-09-23,media,,medidas tomadas para resolver el incidente
136,fallo en la autenticación de dos factores,2024-07-16,alta,laura.martinez,medidas tomadas para resolver el incidente
137,acceso no autorizado a base de datos,2024-07-03,media,ana.lopez,medidas tomadas para resolver el incidente
138,explotación de vulnerabilidad en servidor web,2024-09-21,baja,,medidas tomadas para resolver el incidente
139,problema en el sistema de autenticación,2024-02-02,baja,,medidas tomadas para resolver el incidente
140,fallo en la autenticación de dos factores,2024-07-14,media,laura.martinez,medidas tomadas para resolver el incidente
141,acceso no autorizado a base de datos,2024-01-23,alta,juan.perez,medidas tomadas para resolver el incidente
142,explotación de vulnerabilidad en servidor web,2024-11-30,baja,,medidas tomadas para resolver el incidente
143,explotación de vulnerabilidad en servidor web,2024-04-28,media,maria.gomez,medidas tomadas para resolver el incidente
144,ataque ddos en el servidor de la empresa,2024-01-20,alta,juan.perez,medidas tomadas para resolver el incidente
145,acceso no autorizado a la red de administración,2024-01-25,media,,medidas tomadas para resolver el incidente
146,intento de acceso sospechoso a la red interna,2024-11-06,alta,laura.martinez,medidas tomadas para resolver el incidente
147,intento de acceso sospechoso a la red interna,2024-05-07,baja,juan.perez,medidas tomadas para resolver el incidente
148,acceso no autorizado a la red de administración,2024-11-20,media,maria.gomez,medidas tomadas para resolver el incidente
149,intento de acceso sospechoso a la red interna,2024-12-12,baja,carlos.smith,medidas tomadas para resolver el incidente
150,ataque ddos en el servidor de la empresa,2024-12-06,alta,ana.lopez,medidas tomadas para resolver el incidente
151,ataque ddos en el servidor de la empresa,2024-06-01,alta,ana.lopez,medidas tomadas para resolver el incidente
152,explotación de vulnerabilidad en servidor web,2024-05-13,media,juan.perez,medidas tomadas para resolver el incidente
153,acceso no autorizado a base de datos,2024-06-01,baja,juan.perez,medidas tomadas para resolver el incidente
154,explotación de vulnerabilidad en servidor web,2024-07-22,media,laura.martinez,medidas tomadas para resolver el incidente
155,fallo en la autenticación de dos factores,2024-02-04,media,jose.rodriguez,medidas tomadas para resolver el incidente
156,fallo en la autenticación de dos factores,2024-06-10,media,jose.rodriguez,medidas tomadas para resolver el incidente
157,acceso no autorizado a base de datos,2024-11-04,alta,juan.perez,medidas tomadas para resolver el incidente
158,explotación de vulnerabilidad en servidor web,2024-04-18,baja,pedro.juarez,medidas tomadas para resolver el incidente
159,explotación de vulnerabilidad en servidor web,2024-11-17,baja,laura.martinez,medidas tomadas para resolver el incidente
160,acceso no autorizado a la red de administración,2024-05-25,media,juan.perez,medidas tomadas para resolver el incidente
161,ataque ddos en el servidor de la empresa,2024-10-23,baja,,medidas tomadas para resolver el incidente
162,fallo en la autenticación de dos factores,2024-05-17,alta,ana.lopez,medidas tomadas para resolver el incidente
163,intento de acceso sospechoso a la red interna,2024-03-29,alta,juan.perez,medidas tomadas para resolver el incidente
164,problema en el sistema de autenticación,2024-11-19,baja,,medidas tomadas para resolver el incidente
165,problema en el sistema de autenticación,2024-03-09,baja,carlos.smith,medidas tomadas para resolver el incidente
166,fallo en la autenticación de dos factores,2024-05-08,alta,pedro.juarez,medidas tomadas para resolver el incidente
167,explotación de vulnerabilidad en servidor web,2024-10-24,media,jose.rodriguez,medidas tomadas para resolver el incidente
168,problema en el sistema de autenticación,2024-04-26,media,pedro.juarez,medidas tomadas para resolver el incidente
169,acceso no autorizado a la red de administración,2024-07-06,baja,laura.martinez,medidas tomadas para resolver el incidente
170,ataque ddos en el servidor de la empresa,2024-02-08,media,carlos.smith,medidas tomadas para resolver el incidente
171,intento de acceso sospechoso a la red interna,2024-04-25,baja,ana.lopez,medidas tomadas para resolver el incidente
172,incidente de phishing detectado en correo,2024-12-09,baja,,medidas tomadas para resolver el incidente
173,explotación de vulnerabilidad en servidor web,2024-04-09,alta,maria.gomez,medidas tomadas para resolver el incidente
174,fallo en la autenticación de dos factores,2024-03-01,baja,maria.gomez,medidas tomadas para resolver el incidente
175,intento de acceso sospechoso a la red interna,2024-03-23,media,juan.perez,medidas tomadas para resolver el incidente
176,acceso no autorizado a base de datos,2024-10-28,media,ana.lopez,medidas tomadas para resolver el incidente
177,fallo en la autenticación de dos factores,2024-03-04,baja,,medidas tomadas para resolver el incidente
178,acceso no autorizado a base de datos,2024-12-21,baja,,medidas tomadas para resolver el incidente
179,fallo en la autenticación de dos factores,2024-12-03,alta,ana.lopez,medidas tomadas para resolver el incidente
180,intento de acceso sospechoso a la red interna,2024-08-27,baja,jose.rodriguez,medidas tomadas para resolver el incidente
181,fallo en la autenticación de dos factores,2024-05-03,alta,maria.gomez,medidas tomadas para resolver el incidente
182,ataque ddos en el servidor de la empresa,2024-01-26,baja,laura.martinez,medidas tomadas para resolver el incidente
183,acceso no autorizado a base de datos,2024-10-26,media,ana.lopez,medidas tomadas para resolver el incidente
184,problema en el sistema de autenticación,2024-07-03,baja,juan.perez,medidas tomadas para resolver el incidente
185,explotación de vulnerabilidad en servidor web,2024-11-06,alta,ana.lopez,medidas tomadas para resolver el incidente
186,ataque ddos en el servidor de la empresa,2024-06-18,media,carlos.smith,medidas tomadas para resolver el incidente
187,ataque ddos en el servidor de la empresa,2024-01-20,media,laura.martinez,medidas tomadas para resolver el incidente
188,problema en el sistema de autenticación,2024-12-03,media,laura.martinez,medidas tomadas para resolver el incidente
189,fallo en la autenticación de dos factores,2024-10-24,alta,maria.gomez,medidas tomadas para resolver el incidente
190,ataque ddos en el servidor de la empresa,2024-01-21,alta,ana.lopez,medidas tomadas para resolver el incidente
191,ataque ddos en el servidor de la empresa,2024-04-28,alta,maria.gomez,medidas tomadas para resolver el incidente
192,acceso no autorizado a base de datos,2024-03-08,baja,pedro.juarez,medidas tomadas para resolver el incidente
