id_informe_iperc,id_proceso,fecha_registro,fecha_act_sup,fecha_act_seg,unidad_minera,area
1,1,2024-07-31,2024-03-18,2024-02-23,Coimolache,MTTO. EQUIPOS
2,2,2024-06-08,2023-11-15,2024-05-13,Coimolache,MTTO. SERVICIOS
3,3,2024-09-16,2024-10-25,2024-10-12,San Gabriel,MTTO. SERVICIOS
4,4,2024-01-07,2024-05-26,2024-01-21,Tambomayo,MANTTO DE EQUIPOS TRACKLESS
5,5,2023-11-12,2024-04-20,2024-07-22,Huanzala,MTTO. EQUIPOS
6,6,2024-04-05,2024-08-30,2024-03-24,Cerro Verde,MTTO. PLANTA
7,7,2024-02-13,2023-12-10,2024-07-13,Coimolache,MTTO. EQUIPOS
8,8,2024-01-05,2024-01-30,2024-08-12,Uchucchacua,MTTO. EQUIPOS
9,9,2024-01-07,2024-03-31,2023-12-04,La Zanja,MANTTO DE EQUIPOS TRACKLESS
10,10,2024-04-08,2024-10-21,2024-04-15,Río Seco,MTTO. EQUIPOS
11,11,2023-12-09,2024-04-26,2024-01-06,Colquijirca,MTTO. EQUIPOS
12,12,2024-01-26,2024-05-05,2024-04-05,La Zanja,MTTO. EQUIPOS
13,13,2024-03-18,2024-05-13,2023-11-19,Colquijirca,MTTO. EQUIPOS
14,14,2023-12-12,2024-01-31,2024-02-20,Orcopampa,MTTO. SERVICIOS
15,15,2024-02-10,2023-12-20,2024-01-01,Tambomayo,MTTO. EQUIPOS
16,16,2024-05-31,2024-05-13,2024-01-28,Tambomayo,MTTO. SERVICIOS
17,17,2024-05-24,2024-02-03,2024-05-19,Orcopampa,MANTTO DE EQUIPOS TRACKLESS
18,18,2024-05-26,2024-10-01,2024-07-14,Coimolache,MANTTO DE EQUIPOS TRACKLESS
19,19,2024-05-22,2024-10-03,2024-09-04,Orcopampa,MTTO.ELECTRICO
20,20,2024-06-02,2023-11-07,2024-10-26,Julcani,MTTO. EQUIPOS
21,21,2024-04-18,2024-07-23,2023-11-21,La Zanja,MTTO. SERVICIOS
22,22,2024-10-14,2023-11-23,2023-12-21,Coimolache,MTTO.ELECTRICO
23,23,2024-04-25,2024-02-21,2024-05-08,San Gabriel,MTTO. EQUIPOS
24,24,2024-09-20,2024-01-26,2024-06-09,Orcopampa,MTTO. PLANTA
