"Id_Notificacion","Id_Administrador","Tipo_Evento","Fecha_Hora_Notificacion","Estado_Notificacion","Mensaje_Notificacion","Prioridad","Id_Sesion","Id_autenticacion"
"1","3","Acceso Bloqueado","2023-12-13 07:12:59","Leída","Acceso Bloqueado detectado desde Tumbes, Peru","Alta","483","387"
"2","2","Sesión Sospechosa","2024-10-15 23:56:18","Investigando","Sesión Sospechosa detectado desde Tarapoto, Peru","Alta","420","396"
"3","5","Reintento de Autenticación","2024-08-27 22:47:43","Resuelta","Reintento de Autenticación detectado desde Piura, Peru","Alta","130","471"
"4","3","Acceso Bloqueado","2024-02-06 14:38:04","En Proceso","Acceso Bloqueado detectado desde Piura, Peru","Baja","975","593"
"5","2","Cambio de Contraseña","2024-09-27 02:53:27","Pendiente","Cambio de Contraseña detectado desde Tarapoto, Peru","Media","413","683"
"6","4","Cambio de Contraseña","2023-02-25 09:52:50","Resuelta","Cambio de Contraseña detectado desde Huaraz, Peru","Baja","719","888"
"7","3","Sesión Sospechosa","2023-09-05 10:08:29","Pendiente","Sesión Sospechosa detectado desde Lima, Peru","Media","488","466"
"8","3","Inicio de Sesión No Reconocido","2024-10-26 16:09:03","Resuelta","Inicio de Sesión No Reconocido detectado desde Iquitos, Peru","Baja","158","875"
"9","2","Intento de Hackeo","2024-05-15 20:22:01","Leída","Intento de Hackeo detectado desde Arequipa, Peru","Baja","914","574"
"10","2","Recuperación de Contraseña","2024-09-12 13:45:05","Investigando","Recuperación de Contraseña detectado desde Tarapoto, Peru","Alta","920","583"
"11","1","Intento de Hackeo","2023-08-25 23:22:39","Leída","Intento de Hackeo detectado desde Iquitos, Peru","Alta","980","576"
"12","1","Reintento de Autenticación","2024-11-28 10:01:42","Enviada","Reintento de Autenticación detectado desde Juliaca, Peru","Media","383","974"
"13","2","Reintento de Autenticación","2023-09-05 20:41:43","Enviada","Reintento de Autenticación detectado desde Huancayo, Peru","Alta","956","304"
"14","4","Sesión Sospechosa","2023-10-26 20:08:09","Pendiente","Sesión Sospechosa detectado desde Tumbes, Peru","Baja","875","85"
"15","5","Recuperación de Contraseña","2023-02-03 15:29:17","Resuelta","Recuperación de Contraseña detectado desde Cusco, Peru","Alta","304","665"
"16","2","Acceso Permitido","2023-11-16 21:00:24","Leída","Acceso Permitido detectado desde Trujillo, Peru","Alta","267","677"
