Id_Sesion,Id_autenticacion,Estado_sesion,Direccion_mac,Tipo_Dispositivo,Fecha_Hora_sospecha,Direccion_ip,Ubicacion,Acciones_tomadas
1,1,1,01:17:30:5F:F1:5A,Tablet,2024-01-01 16:06:42,192.168.0.124,Ubicacion_17,Accion_2
2,2,3,80:1A:C6:90:D7:83,Tablet,2024-01-01 10:38:04,192.168.0.182,Ubicacion_41,Accion_4
3,3,3,5F:32:58:6C:9A:6C,Smartphone,2024-01-01 19:25:35,192.168.0.206,Ubicacion_49,Accion_1
4,4,2,7E:EA:20:C8:9E:BE,PC,2024-01-01 08:17:37,192.168.0.166,Ubicacion_22,Accion_5
5,5,2,57:7E:B3:B4:96:86,PC,2024-01-01 22:54:44,192.168.0.154,Ubicacion_32,Accion_1
6,6,3,1D:B3:B6:B5:F6:A0,Smartphone,2024-01-01 18:58:51,192.168.0.213,Ubicacion_38,Accion_4
7,7,2,59:04:4C:64:C5:80,Tablet,2024-01-01 12:14:32,192.168.0.217,Ubicacion_30,Accion_3
8,8,2,44:A4:ED:41:71:9D,Tablet,2024-01-01 20:22:22,192.168.0.200,Ubicacion_33,Accion_2
9,9,2,3E:33:DE:6E:EF:AE,Smartphone,2024-01-01 00:51:06,192.168.0.106,Ubicacion_10,Accion_2
10,10,2,B3:E2:5F:D5:E3:E1,PC,2024-01-01 06:22:20,192.168.0.199,Ubicacion_37,Accion_4
11,11,2,83:1E:79:14:3F:DF,PC,2024-01-01 19:51:43,192.168.0.78,Ubicacion_39,Accion_4
12,12,3,F7:68:ED:B9:5C:3D,PC,2024-01-01 17:27:45,192.168.0.109,Ubicacion_32,Accion_1
13,13,3,9D:05:05:28:22:33,PC,2024-01-01 20:55:35,192.168.0.110,Ubicacion_42,Accion_5
14,14,3,9B:52:05:57:E1:BA,Smartphone,2024-01-01 16:14:52,192.168.0.205,Ubicacion_38,Accion_1
15,15,3,3C:D0:A6:93:2F:08,Tablet,2024-01-01 19:51:36,192.168.0.130,Ubicacion_12,Accion_3
16,16,1,E0:26:86:6E:B2:16,PC,2024-01-01 20:43:40,192.168.0.228,Ubicacion_8,Accion_5
17,17,2,B5:41:5E:7F:73:CC,Tablet,2024-01-01 12:37:30,192.168.0.64,Ubicacion_15,Accion_3
18,18,3,F1:86:0E:5F:47:01,Smartphone,2024-01-01 10:50:09,192.168.0.175,Ubicacion_1,Accion_5
19,19,2,B1:E1:30:2F:5C:6B,Smartphone,2024-01-01 07:46:51,192.168.0.36,Ubicacion_26,Accion_4
20,20,3,13:D8:8B:99:88:8A,Smartphone,2024-01-01 12:36:11,192.168.0.89,Ubicacion_15,Accion_2
21,21,1,FD:0F:A9:5E:5E:E5,Tablet,2024-01-01 02:33:53,192.168.0.126,Ubicacion_8,Accion_5
22,22,3,17:68:75:07:AE:85,PC,2024-01-01 06:42:30,192.168.0.118,Ubicacion_16,Accion_1
23,23,3,34:9A:43:A6:B8:0C,Smartphone,2024-01-01 14:27:30,192.168.0.104,Ubicacion_37,Accion_4
24,24,1,33:85:87:49:AE:D9,Smartphone,2024-01-01 22:27:43,192.168.0.44,Ubicacion_47,Accion_5
25,25,3,D9:87:5E:10:91:E4,Smartphone,2024-01-01 16:36:08,192.168.0.21,Ubicacion_2,Accion_5
26,26,2,DB:E1:63:B3:91:2E,Smartphone,2024-01-01 10:19:31,192.168.0.172,Ubicacion_28,Accion_1
27,27,2,31:88:21:9B:8F:60,PC,2024-01-01 13:26:45,192.168.0.67,Ubicacion_48,Accion_3
28,28,3,1F:6E:26:3C:FD:11,Smartphone,2024-01-01 19:22:24,192.168.0.151,Ubicacion_38,Accion_2
29,29,1,61:80:D2:8E:04:B6,Tablet,2024-01-01 15:10:16,192.168.0.94,Ubicacion_4,Accion_3
30,30,2,1D:31:82:AB:53:C9,PC,2024-01-01 11:35:10,192.168.0.180,Ubicacion_37,Accion_3
31,31,1,7B:3B:10:89:BA:8D,PC,2024-01-01 19:00:30,192.168.0.136,Ubicacion_33,Accion_5
32,32,2,08:22:94:4C:DB:E1,PC,2024-01-01 17:52:15,192.168.0.136,Ubicacion_49,Accion_1
33,33,2,50:29:F1:98:85:51,PC,2024-01-01 09:00:56,192.168.0.158,Ubicacion_2,Accion_4
34,34,1,13:7E:A7:90:55:00,Smartphone,2024-01-01 10:37:13,192.168.0.161,Ubicacion_31,Accion_1
35,35,1,83:32:A1:19:6E:18,Smartphone,2024-01-01 20:36:26,192.168.0.128,Ubicacion_31,Accion_5
36,36,3,49:B5:61:9E:55:B1,Tablet,2024-01-01 21:03:08,192.168.0.246,Ubicacion_44,Accion_3
37,37,3,C4:62:8E:FA:9E:85,Smartphone,2024-01-01 10:34:07,192.168.0.116,Ubicacion_49,Accion_1
38,38,2,B4:7F:77:5D:3F:BE,Smartphone,2024-01-01 23:16:03,192.168.0.227,Ubicacion_31,Accion_4
39,39,3,10:BF:EC:75:BE:AB,Tablet,2024-01-01 11:37:27,192.168.0.40,Ubicacion_17,Accion_2
40,40,2,E6:AC:63:08:C5:87,Smartphone,2024-01-01 01:39:27,192.168.0.22,Ubicacion_17,Accion_5
41,41,1,BF:76:34:E0:34:B7,PC,2024-01-01 11:25:05,192.168.0.74,Ubicacion_32,Accion_4
42,42,1,B5:7F:3B:64:5F:69,Tablet,2024-01-01 16:25:51,192.168.0.40,Ubicacion_39,Accion_3
43,43,2,11:75:20:B6:AB:BB,Smartphone,2024-01-01 01:47:57,192.168.0.228,Ubicacion_39,Accion_1
44,44,3,8B:75:51:BE:A7:99,Smartphone,2024-01-01 01:18:26,192.168.0.179,Ubicacion_21,Accion_2
45,45,1,BD:83:83:54:59:33,Smartphone,2024-01-01 17:08:03,192.168.0.47,Ubicacion_6,Accion_4
46,46,2,E1:44:CA:BD:9B:EB,Tablet,2024-01-01 05:30:08,192.168.0.197,Ubicacion_26,Accion_2
47,47,3,F6:C3:28:33:27:34,PC,2024-01-01 16:41:57,192.168.0.59,Ubicacion_22,Accion_2
48,48,1,BC:65:7E:B1:0A:A7,Smartphone,2024-01-01 04:26:47,192.168.0.124,Ubicacion_39,Accion_1
49,49,1,FB:9E:CF:34:13:2F,PC,2024-01-01 12:20:13,192.168.0.116,Ubicacion_22,Accion_1
50,50,3,82:19:D7:BB:DD:F2,Smartphone,2024-01-01 10:13:15,192.168.0.160,Ubicacion_31,Accion_5
51,51,3,EF:81:81:74:96:F3,Smartphone,2024-01-01 04:27:13,192.168.0.60,Ubicacion_48,Accion_4
52,52,1,18:8D:2F:C9:66:59,PC,2024-01-01 10:45:42,192.168.0.124,Ubicacion_15,Accion_1
53,53,3,81:41:AD:A5:CB:0E,PC,2024-01-01 05:00:29,192.168.0.167,Ubicacion_17,Accion_4
54,54,2,C6:9A:D8:67:23:99,PC,2024-01-01 03:17:35,192.168.0.172,Ubicacion_45,Accion_1
55,55,2,C9:93:2F:A6:17:C9,Tablet,2024-01-01 23:45:07,192.168.0.106,Ubicacion_5,Accion_4
56,56,2,DC:64:4D:9D:EE:5F,Smartphone,2024-01-01 17:48:59,192.168.0.172,Ubicacion_33,Accion_2
57,57,2,9C:56:A0:10:F0:74,Smartphone,2024-01-01 04:05:30,192.168.0.121,Ubicacion_35,Accion_5
