Descripcion_tarea,Puesto_trabajo,Cond_operacional,Id_actividad,id_tarea
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,recados semanales,358,1
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Tecnico de Mantenimiento Preventivo,recados semanales,88,2
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Gerente de Instalaciones,responsabilidades habituales,404,3
Probar los sistemas de deteccion de gases para verificar su precision,Coordinador de Mantenimiento,asignaciones regulares,350,4
Revisar las salidas de emergencia para detectar obstrucciones,Especialista en Mantenimiento Preventivo,asignaciones regulares,289,5
Probar los botones de parada de emergencia para verificar su funcionalidad,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,40,6
Inspeccionar las bandas transportadoras en busca de desgaste,Especialista en Mantenimiento Preventivo,asignaciones regulares,18,7
Inspeccionar las bandas transportadoras en busca de desgaste,Supervisor de Mantenimiento,recados semanales,160,8
Inspeccionar el andamiaje para asegurar su estabilidad,Gerente de Instalaciones,obligaciones frecuentes,49,9
Inspeccionar las bandas transportadoras en busca de desgaste,Supervisor de Mantenimiento,responsabilidades habituales,362,10
Probar los sistemas de alarma para verificar su respuesta,Lider de Equipo de Mantenimiento,asignaciones regulares,287,11
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,247,12
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,metas anuales,376,13
Inspeccionar los arneses de seguridad en busca de danos,Ingeniero de Mantenimiento Preventivo,responsabilidades habituales,368,14
Revisar las salidas de emergencia para detectar obstrucciones,Tecnico de Mantenimiento,metas anuales,415,15
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento,asignaciones regulares,342,16
Probar los botones de parada de emergencia para verificar su funcionalidad,Tecnico de Mantenimiento Preventivo,deberes ocasionales,224,17
Probar los sistemas de deteccion de gases para verificar su precision,Supervisor de Mantenimiento,deberes ocasionales,181,18
Probar los sistemas de deteccion de gases para verificar su precision,Ingeniero de Mantenimiento Preventivo,asignaciones regulares,493,19
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Coordinador de Mantenimiento,deberes ocasionales,31,20
Probar los botones de parada de emergencia para verificar su funcionalidad,Especialista en Mantenimiento Preventivo,obligaciones frecuentes,101,21
Probar los sistemas de alarma para verificar su respuesta,Tecnico de Mantenimiento,metas anuales,167,22
Inspeccionar los extintores de incendios para verificar las fechas de vencimiento,Coordinador de Mantenimiento,obligaciones frecuentes,370,23
Inspeccionar los arneses de seguridad en busca de danos,Supervisor de Mantenimiento,metas anuales,313,24
Revisar los sistemas de ventilacion para asegurar un flujo de aire adecuado,Supervisor de Mantenimiento,asignaciones regulares,488,25
Revisar las salidas de emergencia para detectar obstrucciones,Ingeniero de Mantenimiento Preventivo,recados semanales,156,26
Revisar las salidas de emergencia para detectar obstrucciones,Gerente de Instalaciones,recados semanales,164,27
Probar los sistemas de alarma para verificar su respuesta,Supervisor de Mantenimiento,deberes ocasionales,269,28
Inspeccionar los arneses de seguridad en busca de danos,Tecnico de Mantenimiento,deberes ocasionales,176,29
Probar los sistemas de deteccion de gases para verificar su precision,Especialista en Mantenimiento Preventivo,metas anuales,463,30
Probar la iluminacion de emergencia para verificar su funcionalidad,Gerente de Instalaciones,Tareas diarias,246,31
Probar los sistemas de deteccion de gases para verificar su precision,Lider de Equipo de Mantenimiento,obligaciones frecuentes,55,32
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,asignaciones regulares,91,33
Probar la iluminacion de emergencia para verificar su funcionalidad,Supervisor de Mantenimiento,recados semanales,278,34
